symbol,organ_name,icb_name,exchange
BTT,Công ty Cổ phần Thương mại - Dịch vụ Bến Thành,Dịch vụ Tiêu dùng,HOSE
CTT,Công ty Cổ phần Chế tạo máy Vinacomin,Công nghiệp,HNX
BMP,Công ty Cổ phần Nhựa Bình Minh,Công nghiệp,HOSE
HAR,Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền,Tài chính,HOSE
HII,Công ty Cổ phần An Tiến Industries,Nguyên vật liệu,HOSE
CVT,Công ty Cổ phần CMC,Công nghiệp,HOSE
BCE,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công nghiệp,HOSE
BCG,Công ty Cổ phần Tập đoàn Bamboo Capital,Tài chính,HOSE
GMH,Công ty Cổ phần Minh Hưng Quảng Trị,Công nghiệp,HOSE
ARM,Công ty Cổ phần Xuất nhập khẩu Hàng không,Công nghiệp,HNX
HAT,Công ty Cổ phần Thương mại Bia Hà Nội,Hàng Tiêu dùng,HNX
TTE,Công ty Cổ phần Đầu tư Năng lượng Trường Thịnh,Tiện ích Cộng đồng,HOSE
GMC,Công ty Cổ phần Garmex Sài Gòn,Hàng Tiêu dùng,HOSE
HCC,Công ty Cổ phần Bê tông Hòa Cầm - Intimex,Công nghiệp,HNX
HCD,Công ty Cổ phần Đầu tư Sản xuất và Thương mại HCD,Nguyên vật liệu,HOSE
DPR,Công ty Cổ phần Cao su Đồng Phú,Nguyên vật liệu,HOSE
BXH,Công ty Cổ phần VICEM Bao bì Hải Phòng,Công nghiệp,HNX
CNG,Công ty Cổ phần CNG Việt Nam,Tiện ích Cộng đồng,HOSE
DRL,Công ty Cổ phần Thủy điện - Điện lực 3,Tiện ích Cộng đồng,HOSE
BPC,Công ty Cổ phần Vicem Bao bì Bỉm Sơn,Công nghiệp,HNX
DBT,Công ty Cổ phần Dược phẩm Bến Tre,Dược phẩm và Y tế,HOSE
C69,Công ty Cổ phần Xây dựng 1369,Công nghiệp,HNX
D2D,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2,Tài chính,HOSE
DC2,Công ty Cổ phần Đầu tư Phát triển - Xây dựng (DIC) số 2,Công nghiệp,HNX
DNC,Công ty Cổ phần Điện nước Lắp máy Hải Phòng,Tiện ích Cộng đồng,HNX
AGM,Công ty Cổ phần Xuất nhập khẩu An Giang,Hàng Tiêu dùng,HOSE
BFC,Công ty Cổ phần Phân bón Bình Điền,Nguyên vật liệu,HOSE
CIG,Công ty Cổ phần COMA 18,Công nghiệp,HOSE
CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Công nghiệp,HOSE
AAM,Công ty Cổ Phần Thủy Sản MeKong,Hàng Tiêu dùng,HOSE
BED,Công ty Cổ phần Sách và Thiết bị trường học Đà Nẵng,Dịch vụ Tiêu dùng,HNX
ASG,Công ty Cổ phần Tập đoàn ASG,Công nghiệp,HOSE
LM8,Công ty Cổ phần Lilama 18,Công nghiệp,HOSE
LSS,Công ty Cổ phần Mía đường Lam Sơn,Hàng Tiêu dùng,HOSE
HAX,Công ty Cổ phần Dịch vụ Ô tô Hàng Xanh,Hàng Tiêu dùng,HOSE
AAT,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,Hàng Tiêu dùng,HOSE
BTP,Công ty Cổ phần Nhiệt điện Bà Rịa,Tiện ích Cộng đồng,HOSE
CTB,Công ty Cổ phần Chế tạo Bơm Hải Dương,Công nghiệp,HNX
HJS,Công ty Cổ phần Thủy điện Nậm Mu,Tiện ích Cộng đồng,HNX
AAV,Công ty Cổ phần AAV Group,Tài chính,HNX
HLC,Công ty Cổ phần Than Hà Lầm - Vinacomin,Nguyên vật liệu,HNX
DRC,Công ty Cổ phần Cao su Đà Nẵng,Hàng Tiêu dùng,HOSE
HMR,Công ty cổ phần Đá Hoàng Mai,Công nghiệp,HNX
CAN,Công ty Cổ phần Đồ hộp Hạ Long,Hàng Tiêu dùng,HNX
HAS,Công ty Cổ phần Hacisco,Công nghiệp,HOSE
ADG,Công ty Cổ phần Clever Group,Dịch vụ Tiêu dùng,HOSE
CAP,Công ty Cổ phần Lâm Nông sản Thực phẩm Yên Bái,Nguyên vật liệu,HNX
CAP,Công ty Cổ phần Lâm Nông sản Thực phẩm Yên Bái,Nguyên vật liệu,HNX30
PCH,Công ty Cổ phần Nhựa Picomat,Nguyên vật liệu,HNX
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Hàng Tiêu dùng,HOSE
MDG,Công ty Cổ phần Miền Đông,Công nghiệp,HOSE
ASP,Công ty Cổ phần Tập đoàn Dầu khí An Pha,Tiện ích Cộng đồng,HOSE
HMC,Công ty Cổ phần Kim khí Thành phố Hồ Chí Minh - VNSTEEL,Nguyên vật liệu,HOSE
DMC,Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO,Dược phẩm và Y tế,HOSE
HBS,Công ty Cổ phần Chứng khoán Hòa Bình,Tài chính,HNX
DTT,Công ty Cổ phần Kỹ nghệ Đô Thành,Nguyên vật liệu,HOSE
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng,HOSE
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng,VN30
HMH,Công ty Cổ phần Hải Minh,Công nghiệp,HNX
CLW,Công ty Cổ phần Cấp nước Chợ Lớn,Tiện ích Cộng đồng,HOSE
CMC,Công ty Cổ phần Đầu tư CMC,Hàng Tiêu dùng,HNX
HNA,Công ty Cổ phần Thủy điện Hủa Na,Tiện ích Cộng đồng,HOSE
BHN,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,Hàng Tiêu dùng,HOSE
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Công nghệ Thông tin,HOSE
BTW,Công ty Cổ phần Cấp nước Bến Thành,Tiện ích Cộng đồng,HNX
ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,Nguyên vật liệu,HOSE
ADS,Công ty Cổ phần DAMSAN,Hàng Tiêu dùng,HOSE
DQC,Công ty Cổ phần Tập đoàn Điện Quang,Hàng Tiêu dùng,HOSE
CMS,Công ty Cổ phần Tập đoàn CMH Việt Nam,Công nghiệp,HNX
CTI,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Công nghiệp,HOSE
DRH,Công ty Cổ phần DRH Holdings,Tài chính,HOSE
ABT,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,Hàng Tiêu dùng,HOSE
CCI,Công ty Cổ phần Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,Tiện ích Cộng đồng,HOSE
FIR,Công ty Cổ phần Địa ốc First Real,Tài chính,HOSE
EVF,Công ty Tài chính Cổ phần Điện Lực,Tài chính,HOSE
PPT,Công ty cổ phần Petro Times,Tiện ích Cộng đồng,HNX
BIC,Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Tài chính,HOSE
BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Tài chính,HOSE
BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Tài chính,VN30
DNP,Công ty Cổ phần DNP Holding,Công nghiệp,HNX
DBD,Công ty Cổ phần Dược - Trang thiết bị y tế Bình Định (BIDIPHAR),Dược phẩm và Y tế,HOSE
HPG,Công ty Cổ phần Tập đoàn Hòa Phát,Nguyên vật liệu,HOSE
HPG,Công ty Cổ phần Tập đoàn Hòa Phát,Nguyên vật liệu,VN30
CDN,Công ty Cổ phần Cảng Đà Nẵng,Công nghiệp,HNX
GEX,Công ty Cổ phần Tập đoàn Gelex,Công nghiệp,HOSE
HCT,Công ty Cổ phần Thương mại - Dịch vụ - Vận tải Xi măng Hải Phòng,Công nghiệp,HNX
CCL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Tài chính,HOSE
HRC,Công ty Cổ phần Cao su Hòa Bình,Nguyên vật liệu,HOSE
HQC,Công ty Cổ phần Tư vấn - Thương mại - Dịch vụ Địa ốc Hoàng Quân,Tài chính,HOSE
CMV,Công ty Cổ phần Thương nghiệp Cà Mau,Dịch vụ Tiêu dùng,HOSE
CMX,Công ty Cổ phần CAMIMEX Group,Hàng Tiêu dùng,HOSE
DXG,Công ty Cổ phần Tập đoàn Đất Xanh,Tài chính,HOSE
HHP,Công ty Cổ phần HHP Global,Nguyên vật liệu,HOSE
PIT,Công ty Cổ phần Xuất nhập khẩu Petrolimex,Dịch vụ Tiêu dùng,HOSE
TCH,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,Tài chính,HOSE
CCR,Công ty Cổ phần Cảng Cam Ranh,Công nghiệp,HNX
ALT,Công ty Cổ phần Văn hóa Tân Bình,Dịch vụ Tiêu dùng,HNX
HT1,Công ty Cổ phần Xi măng VICEM Hà Tiên,Công nghiệp,HOSE
CTR,Tổng Công ty Cổ phần Công trình Viettel,Công nghiệp,HOSE
BVH,Tập đoàn Bảo Việt,Tài chính,HOSE
BVH,Tập đoàn Bảo Việt,Tài chính,VN30
CAR,Công ty cổ phần Tập đoàn Giáo dục Trí Việt,Công nghiệp,HNX
PTB,Công ty Cổ phần Phú Tài,Nguyên vật liệu,HOSE
DTC,Công ty Cổ phần Viglacera Đông Triều,Công nghiệp,HNX
DXS,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,Tài chính,HOSE
HTC,Công ty Cổ phần Thương mại Hóc Môn,Tiện ích Cộng đồng,HNX
HTN,Công ty Cổ phần Hưng Thịnh Incons,Tài chính,HOSE
DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,Tài chính,HOSE
PHN,Công ty Cổ phần Pin Hà Nội,Công nghiệp,HNX
HKT,Công ty Cổ phần Đầu tư Ego Việt Nam,Hàng Tiêu dùng,HNX
HSL,Công ty Cổ phần Đầu tư Phát triển Thực phẩm Hồng Hà,Hàng Tiêu dùng,HOSE
DIH,Công ty Cổ phần Đầu tư Phát triển Xây dựng - Hội An,Công nghiệp,HNX
TNH,Công ty Cổ phần Tập đoàn Bệnh viện TNH,Dược phẩm và Y tế,HOSE
BVS,Công ty Cổ phần Chứng khoán Bảo Việt,Tài chính,HNX
DPG,Công ty Cổ phần Tập đoàn Đạt Phương,Công nghiệp,HOSE
SBG,Công ty Cổ Phần Tập Đoàn Cơ Khí Công Nghệ Cao Siba,Công nghiệp,HOSE
HU1,Công ty Cổ phần Đầu tư và Xây dựng HUD1,Công nghiệp,HOSE
HTL,Công ty Cổ phần Kỹ thuật và Ô tô Trường Long,Hàng Tiêu dùng,HOSE
RCL,Công ty Cổ phần Địa ốc Chợ Lớn,Tài chính,HNX
COM,Công ty Cổ phần Vật tư Xăng dầu,Dịch vụ Tiêu dùng,HOSE
AMC,Công ty Cổ phần Khoáng sản Á Châu,Nguyên vật liệu,HNX
BKC,Công ty Cổ phần Khoáng sản Bắc Kạn,Nguyên vật liệu,HNX
BKG,Công ty Cổ phần Đầu tư BKG Việt Nam,Hàng Tiêu dùng,HOSE
AME,Công ty cổ phần Alphanam E&C,Công nghiệp,HNX
STK,Công ty Cổ phần Sợi Thế Kỷ,Hàng Tiêu dùng,HOSE
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,Hàng Tiêu dùng,HOSE
GLT,Công ty Cổ phần Kỹ thuật điện Toàn Cầu,Hàng Tiêu dùng,HNX
CEO,Công ty Cổ phần Tập đoàn C.E.O,Tài chính,HNX
CEO,Công ty Cổ phần Tập đoàn C.E.O,Tài chính,HNX30
DL1,Công ty Cổ phần Tập đoàn Alpha Seven,Công nghiệp,HNX
ACC,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,Công nghiệp,HOSE
HHS,Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy,Hàng Tiêu dùng,HOSE
EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Ngân hàng,HOSE
GMX,Công ty Cổ phần Gạch ngói Gốm xây dựng Mỹ Xuân,Công nghiệp,HNX
ACG,Công ty Cổ phần Gỗ An Cường,Nguyên vật liệu,HOSE
HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,Tài chính,HOSE
BMC,Công ty Cổ phần Khoáng sản Bình Định,Nguyên vật liệu,HOSE
CHP,Công ty Cổ phần Thủy điện Miền Trung,Tiện ích Cộng đồng,HOSE
HDC,Công ty Cổ phần Phát triển Nhà Bà Rịa Vũng Tàu,Tài chính,HOSE
HUT,Công ty Cổ phần Tasco,Hàng Tiêu dùng,HNX
HUT,Công ty Cổ phần Tasco,Hàng Tiêu dùng,HNX30
HDG,Công ty Cổ phần Tập đoàn Hà Đô,Tài chính,HOSE
HTI,Công ty Cổ phần Đầu tư Phát triển Hạ tầng IDICO,Công nghiệp,HOSE
BBC,Công ty Cổ phần Bibica,Hàng Tiêu dùng,HOSE
IDI,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia I.D.I,Hàng Tiêu dùng,HOSE
IDJ,Công ty Cổ phần Đầu tư IDJ Việt Nam,Tài chính,HNX
CVN,Công ty Cổ phần Vinam,Dược phẩm và Y tế,HNX
HTV,Công ty Cổ phần Logistics Vicem,Công nghiệp,HOSE
IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,Tài chính,HOSE
APS,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,Tài chính,HNX
GAS,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Tiện ích Cộng đồng,HOSE
GAS,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Tiện ích Cộng đồng,VN30
INC,Công ty Cổ phần Tư vấn Đầu tư IDICO,Công nghiệp,HNX
DDG,Công ty Cổ phần Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,Tiện ích Cộng đồng,HNX
INN,Công ty Cổ phần Bao bì và In Nông nghiệp,Công nghiệp,HNX
CRE,Công ty Cổ phần Bất động sản Thế Kỷ,Tài chính,HOSE
GEG,Công ty Cổ phần Điện Gia Lai,Tiện ích Cộng đồng,HOSE
GMD,Công ty Cổ phần Gemadept,Công nghiệp,HOSE
ICG,Công ty Cổ phần Xây dựng Sông Hồng,Công nghiệp,HNX
IPA,Công ty Cổ phần Tập đoàn Đầu tư I.P.A,Công nghiệp,HNX
ITD,Công ty Cổ phần Công nghệ Tiên Phong,Công nghệ Thông tin,HOSE
HVH,Công ty Cổ phần Đầu tư và Công nghệ HVC,Công nghiệp,HOSE
ITQ,Công ty Cổ phần Tập đoàn Thiên Quang,Nguyên vật liệu,HNX
IVS,Công ty Cổ phần Chứng khoán Guotai Junan (Việt Nam),Tài chính,HNX
JVC,Công ty Cổ phần Đầu tư và Phát triển Y tế Việt Nhật,Dược phẩm và Y tế,HOSE
HVT,Công ty Cổ phần Hóa chất Việt Trì,Nguyên vật liệu,HNX
KDC,Công ty Cổ phần Tập đoàn KIDO,Hàng Tiêu dùng,HOSE
PGV,Tổng Công ty Phát điện 3 - Công ty Cổ phần,Tiện ích Cộng đồng,HOSE
KDH,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,Tài chính,HOSE
KDM,Công ty Cổ phần Tập đoàn GCL,Công nghiệp,HNX
KHG,Công ty Cổ phần Tập đoàn Khải Hoàn Land,Tài chính,HOSE
HAP,Công ty Cổ phần Tập Đoàn Hapaco,Nguyên vật liệu,HOSE
CPC,Công ty Cổ phần Thuốc sát trùng Cần Thơ,Nguyên vật liệu,HNX
KHP,Công ty Cổ phần Điện lực Khánh Hòa,Tiện ích Cộng đồng,HOSE
ECI,Công ty Cổ phần Tập đoàn ECI,Dịch vụ Tiêu dùng,HNX
DHC,Công ty Cổ phần Đông Hải Bến Tre,Nguyên vật liệu,HOSE
BSC,Công ty Cổ phần Dịch vụ Bến Thành,Dịch vụ Tiêu dùng,HNX
KMT,Công ty Cổ phần Kim khí Miền Trung,Nguyên vật liệu,HNX
KSB,Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương,Nguyên vật liệu,HOSE
KSD,Công ty Cổ phần Đầu tư DNA,Hàng Tiêu dùng,HNX
KSQ,Công ty Cổ phần CNC Capital Việt Nam,Công nghiệp,HNX
KST,Công ty Cổ phần KASATI,Công nghệ Thông tin,HNX
HHC,Công ty Cổ phần Bánh kẹo Hải Hà,Hàng Tiêu dùng,HNX
KTS,Công ty Cổ phần Đường Kon Tum,Hàng Tiêu dùng,HNX
L18,Công ty Cổ phần Đầu tư và Xây dựng số 18,Công nghiệp,HNX
L18,Công ty Cổ phần Đầu tư và Xây dựng số 18,Công nghiệp,HNX30
IMP,Công ty Cổ phần Dược phẩm IMEXPHARM,Dược phẩm và Y tế,HOSE
LAF,Công ty Cổ phần Chế biến Hàng Xuất khẩu Long An,Hàng Tiêu dùng,HOSE
CJC,Công ty Cổ phần Cơ điện Miền Trung,Công nghiệp,HNX
HTG,Tổng Công ty Cổ phần Dệt may Hòa Thọ,Hàng Tiêu dùng,HOSE
KOS,Công ty Cổ phần KOSY,Tài chính,HOSE
LAS,Công ty Cổ phần Supe Phốt phát và Hóa chất Lâm Thao,Nguyên vật liệu,HNX
LAS,Công ty Cổ phần Supe Phốt phát và Hóa chất Lâm Thao,Nguyên vật liệu,HNX30
DHM,Công ty Cổ phần Thương mại & Khai thác Khoáng sản Dương Hiếu,Nguyên vật liệu,HOSE
DHT,Công ty Cổ phần Dược phẩm Hà Tây,Dịch vụ Tiêu dùng,HNX
DHT,Công ty Cổ phần Dược phẩm Hà Tây,Dịch vụ Tiêu dùng,HNX30
LBE,Công ty Cổ phần Đầu tư và Thương mại LABECO,Dịch vụ Tiêu dùng,HNX
DTL,Công ty Cổ phần Đại Thiên Lộc,Nguyên vật liệu,HOSE
LCD,Công ty Cổ phần Lắp máy - Thí nghiệm cơ điện,Công nghiệp,HNX
LCG,Công ty Cổ phần Lizen,Công nghiệp,HOSE
ITC,Công ty Cổ phần Đầu tư - Kinh doanh nhà,Tài chính,HOSE
CRC,Công ty Cổ phần Create Capital Việt Nam,Công nghiệp,HOSE
KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc,Tài chính,HOSE
GSP,Công ty Cổ phần Vận tải Sản phẩm Khí Quốc tế,Công nghiệp,HOSE
LHG,Công ty Cổ phần Long Hậu,Tài chính,HOSE
LIG,Công ty Cổ phần Licogi 13,Công nghiệp,HNX
LIX,Công ty Cổ phần Bột Giặt LiX,Hàng Tiêu dùng,HOSE
VSM,Công ty Cổ phần Container Miền Trung,Công nghiệp,HNX
GIC,Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh,Công nghiệp,HNX
DGW,Công ty Cổ phần Thế Giới Số,Dịch vụ Tiêu dùng,HOSE
MAC,Công ty Cổ phần Cung ứng và Dịch vụ Kỹ thuật Hàng Hải,Công nghiệp,HNX
MAS,Công ty cổ phần Dịch vụ Hàng Không Sân Bay Đà Nẵng,Dịch vụ Tiêu dùng,HNX
L40,Công ty Cổ phần Đầu tư và Xây dựng 40,Công nghiệp,HNX
MBB,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng,HOSE
MBB,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng,VN30
LPB,Ngân hàng Thương mại Cổ phần Lộc Phát Việt Nam,Ngân hàng,HOSE
MCC,Công ty Cổ phần Gạch ngói cao cấp,Công nghiệp,HNX
MCM,Công ty Cổ phần Giống bò sữa Mộc Châu,Hàng Tiêu dùng,HOSE
MCO,Công ty Cổ phần Đầu tư và Xây dựng BDC Việt Nam,Công nghiệp,HNX
GIL,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Bình Thạnh,Hàng Tiêu dùng,HOSE
MDC,Công ty Cổ phần Than Mông Dương - Vinacomin,Nguyên vật liệu,HNX
LBM,Công ty Cổ phần Khoáng sản và Vật liệu xây dựng Lâm Đồng,Công nghiệp,HOSE
KKC,Công ty Cổ phần Tập đoàn Thành Thái,Nguyên vật liệu,HNX
MED,Công ty Cổ phần Dược Trung ương Mediplantex,Dược phẩm và Y tế,HNX
ILB,Công ty Cổ phần ICD Tân Cảng - Long Bình,Công nghiệp,HOSE
DST,Công ty Cổ phần Đầu tư Sao Thăng Long,Dịch vụ Tiêu dùng,HNX
HAD,Công ty Cổ phần Bia Hà Nội - Hải Dương,Hàng Tiêu dùng,HNX
